Startup_Name,Industry,City,Funding_Amount_INR,Funding_Stage,Date,Investor_Names,Equity_Diluted (%)
Swiggy,E-commerce,Delhi,20000000,Seed,25-07-2021,"Matrix Partners, Lightspeed",12.99
Meesho,HealthTech,Bengaluru,5000000,Series B,31-12-2020,"Tiger Global, Sequoia Capital, Matrix Partners",16.93
Paytm,Logistics,Delhi,50000000,Series D,13-11-2022,SoftBank,22.99
Swiggy,HealthTech,Bengaluru,50000000,Seed,30-11-2022,"Matrix Partners, Kalaari Capital, Accel",12.28
CRED,Logistics,Delhi,100000000,Series B,20-09-2023,Matrix Partners,23
Meesho,HealthTech,Hyderabad,20000000,Series C,28-11-2023,"Lightspeed, Accel",8.84
Razorpay,Logistics,Mumbai,100000000,Series D,08-09-2021,"Lightspeed, Sequoia Capital",11.08
Swiggy,E-commerce,Chennai,100000000,Series B,10-08-2022,"SoftBank, Matrix Partners",9.27
Upstox,Logistics,Mumbai,5000000,Series B,21-11-2022,"Matrix Partners, Lightspeed, Tiger Global",6.87
Swiggy,Logistics,Delhi,10000000,Series A,28-10-2020,Sequoia Capital,9.9
Upstox,Mobility,Bengaluru,50000000,Series C,13-07-2023,"Accel, Matrix Partners, SoftBank",14.89
Swiggy,EdTech,Bengaluru,5000000,Series C,24-03-2021,Kalaari Capital,24.16
Meesho,E-commerce,Bengaluru,100000000,Series A,05-09-2020,"Accel, SoftBank",18.35
Meesho,Mobility,Delhi,50000000,Series D,13-01-2024,"SoftBank, Lightspeed, Kalaari Capital",22.94
Upstox,E-commerce,Delhi,10000000,Series B,03-12-2022,"Matrix Partners, Accel",10.49
CRED,Logistics,Delhi,10000000,Series B,18-11-2021,"Lightspeed, Sequoia Capital",7.77
Swiggy,E-commerce,Mumbai,10000000,Seed,29-04-2022,"Tiger Global, Lightspeed",14.32
Zerodha,EdTech,Hyderabad,50000000,Series D,25-11-2023,Kalaari Capital,22.61
PharmEasy,E-commerce,Hyderabad,5000000,Series B,03-09-2021,"Kalaari Capital, SoftBank",15.76
Meesho,Mobility,Mumbai,50000000,Series A,12-07-2021,"SoftBank, Sequoia Capital",12.78
Razorpay,Logistics,Mumbai,50000000,Series A,28-06-2023,"Sequoia Capital, SoftBank, Lightspeed",16.29
Zerodha,FinTech,Hyderabad,10000000,Series C,07-01-2021,Tiger Global,12.58
Swiggy,E-commerce,Delhi,20000000,Series C,23-07-2021,"Tiger Global, Sequoia Capital",14.41
Meesho,FinTech,Delhi,10000000,Seed,27-08-2023,Kalaari Capital,5.62
Swiggy,EdTech,Bengaluru,100000000,Series A,03-05-2021,SoftBank,18.39
PharmEasy,EdTech,Hyderabad,20000000,Series B,09-12-2020,"Lightspeed, Matrix Partners, Sequoia Capital",20.56
Ola,HealthTech,Bengaluru,100000000,Seed,30-09-2021,"Matrix Partners, SoftBank, Kalaari Capital",23.83
Swiggy,FinTech,Chennai,10000000,Seed,28-11-2023,"Kalaari Capital, Matrix Partners",17.01
CRED,Mobility,Bengaluru,20000000,Series D,27-05-2022,"Tiger Global, Sequoia Capital, Lightspeed",17.95
Zerodha,E-commerce,Hyderabad,5000000,Series C,11-01-2022,"Kalaari Capital, SoftBank, Accel",13.71
Meesho,Logistics,Delhi,100000000,Series D,17-09-2022,"SoftBank, Matrix Partners",16.85
Paytm,EdTech,Bengaluru,20000000,Series C,14-05-2021,"Lightspeed, Kalaari Capital",18.36
Paytm,FinTech,Hyderabad,20000000,Series A,25-09-2022,Tiger Global,20.96
Paytm,HealthTech,Chennai,20000000,Series D,21-01-2020,"Accel, Sequoia Capital, Kalaari Capital",19.4
Upstox,Mobility,Mumbai,50000000,Series C,06-07-2022,Sequoia Capital,10.88
Razorpay,Logistics,Mumbai,20000000,Series D,25-01-2022,"Lightspeed, Kalaari Capital",11.88
Meesho,HealthTech,Delhi,50000000,Series B,19-09-2021,"Accel, Sequoia Capital",19.43
Paytm,FinTech,Chennai,10000000,Series A,19-03-2021,"SoftBank, Tiger Global, Lightspeed",24.53
Meesho,Mobility,Delhi,5000000,Series A,29-08-2021,Tiger Global,8.59
Zerodha,Logistics,Chennai,10000000,Series B,03-04-2020,Lightspeed,10.84
Ola,Logistics,Hyderabad,5000000,Seed,21-03-2023,"SoftBank, Kalaari Capital",13.81
Ola,FinTech,Delhi,50000000,Seed,13-05-2020,"SoftBank, Sequoia Capital",16.54
Zerodha,EdTech,Mumbai,100000000,Series B,23-06-2020,Sequoia Capital,16.16
Razorpay,Mobility,Chennai,100000000,Series A,06-12-2022,"SoftBank, Kalaari Capital",10.95
PharmEasy,E-commerce,Delhi,100000000,Series D,03-05-2020,"Matrix Partners, Sequoia Capital, Accel",17.51
BYJU'S,Logistics,Bengaluru,10000000,Series A,21-12-2020,"Sequoia Capital, Accel, Kalaari Capital",13.17
PharmEasy,E-commerce,Delhi,5000000,Series A,13-08-2021,"Tiger Global, Matrix Partners, SoftBank",6.42
Swiggy,HealthTech,Chennai,10000000,Series C,23-08-2020,"Accel, Matrix Partners, Kalaari Capital",23.17
Ola,FinTech,Bengaluru,10000000,Series B,03-05-2023,"Kalaari Capital, Lightspeed, Tiger Global",13.78
Upstox,Logistics,Delhi,50000000,Series B,21-10-2022,"SoftBank, Kalaari Capital, Sequoia Capital",16.96
Razorpay,Logistics,Delhi,100000000,Series B,22-02-2020,Accel,24.24
PharmEasy,Mobility,Bengaluru,20000000,Series D,23-03-2020,SoftBank,15.38
Upstox,HealthTech,Mumbai,100000000,Series C,24-07-2023,"Sequoia Capital, SoftBank",11.96
Paytm,HealthTech,Bengaluru,10000000,Series B,23-04-2022,"SoftBank, Tiger Global, Kalaari Capital",21.27
CRED,FinTech,Delhi,10000000,Series A,12-10-2020,"Sequoia Capital, Matrix Partners, Lightspeed",6.74
